College,Department,Code,Name,Credits,Tags,Prerequisites
Central,ABE,020,Abe Level 2,4.0,,
Central,ABE,021,Abe 2 Math,8.0,,
Central,ABE,021,Abe 2 Math for Esl,5.0,,
Central,ABE,022,Abe 2 Comm,10.0,,
Central,ABE,024,Abe Level 2 - Computers,15.0,,
Central,ABE,030,Abe Level 3,4.0,,ABE020
Central,ABE,031,Abe 3 Math,5.0,,ABE021
Central,ABE,032,Abe 3 Comm,10.0,,ABE031
Central,ABE,034,Cmptr Assted Abe Lvl 3,2.0,,
Central,ABE,040,Abe Level 4,0.0,,ABE030
Central,ABE,041,Abe 4 Math,5.0,,
Central,ABE,041,Abe 4 Math for Esl,5.0,,
Central,ABE,042,Abe 4 Comm,10.0,,ABE030
Central,ABE,044,Cmptr Assted Abe Lvl 4,2.0,,
Central,ABE,049,Abe Ece Support,2.0,,
Central,ABE,049,Ece Vesl,3.0,,
Central,ABE,049,Pa Vabe Cda,3.0,,
Central,ABE,050,Abe Level 5,4.0,,
Central,ABE,054,Cmptr Assted Abe Lvl 5,2.0,,
Central,ABE,059,Vocational Esl,5.0,,
Central,ABE,060,Abe - Asset/Compass Prep,10.0,,
Central,ABE,060,Abe Level 6,9.0,,
Central,ABE,060,Abe-Asset,10.0,,
Central,ABE,061,Abe - Math Level 6,5.0,LC,
Central,ABE,061,Abe 6 Math,3.0,LC,
Central,ABE,061,Ase - Math Level 6,3.0,"HY,LC",
Central,ABE,062,Abe - Comm Level 6,10.0,,
Central,ABE,062,Abe 6 Comm,5.0,,
Central,ABE,062,Abe 6 Compass,10.0,,
Central,ABE,064,Cmptr Assted Abe Lvl 6,2.0,,
Central,ABE,070,Ed Orien/Int,1.0,,
Central,ABE,070,Educational Interviewing,9.0,,
Central,ABE,070,Orien/Int,1.0,,
Central,ABS,206,Writing Hum Srvs,3.0,,
Central,ABS,310,Professionalism-Ethical,5.0,,
Central,ABS,330,Info Lit Prog Assessment,5.0,,
